input,Correct Answer,Correct Option,source
"A 10-year-old girl is brought to the office by her mother because her school nurse thinks that she may have Marfan syndrome. She is at the 95th percentile for height and 25th percentile for weight. Physical examination shows a narrow palate with dental crowding, long slender extremities, and joint laxity. Molecular testing for FBN1 shows a single nucleotide difference that does not change the amino acid at that locus. Her mother is 163 cm (5 ft 4 in) tall. There is no clinical evidence of Marfan syndrome in the mother, but she has the same single nucleotide change as the patient. The same nucleotide change is found in 15 of 200 individuals without Marfan syndrome. Which of the following best describes the single nucleotide change in the patient and her mother?

A. It is a disease-causing mutation in the patient and her mother
B. It is a polymorphism
C. It is a sequence variant of unknown significance
D. It will change the folding of the protein",It is a polymorphism,B,Professional Medicine
"What is the pH of water?

A. 3.5
B. 7
C. 12
D. 6.25",7,B,Clinical Knowledge
"A hypertonic solution is:

A. a solution that has a higher concentration of solutes than the normal human cell.
B. a solution that blocks off enteral tubes easily.
C. a solution that has a lower concentration of solutes than the normal human cell.
D. a solution with a high fibre content.",a solution that has a higher concentration of solutes than the normal human cell.,A,Clinical Knowledge
"A 7-year-old male is brought to the office for evaluation of school problems. The mother says that the teacher has told her that the patient is inattentive, has difficulty following sequential instructions, and often seems to drift off to sleep during class. A polysomnogram reveals obstructive sleep apnea. The most appropriate management is

A. elevation of the head of the bed
B. heart rate and apnea monitoring
C. imipramine
D. surgical evaluation",surgical evaluation,D,Professional Medicine
"The main fate of lactate that leaves muscle and enters the circulation is:

A. conversion to urea in the liver.
B. conversion to glucose in the heart.
C. excretion via the kidneys.
D. uptake and oxidation by other tissues.",uptake and oxidation by other tissues.,D,Clinical Knowledge
"What commonly causes skin excoriation?

A. A well-fitting pouch.
B. Changing the pouch every day.
C. Leakage of effluent onto peristomal skin.
D. The use of unscented soap to cleanse the skin.",Leakage of effluent onto peristomal skin.,C,Clinical Knowledge
"In men, specimens for gonococcal cultures are most commonly obtained from which of the following structures?

A. Anus
B. Bladder
C. Urethra
D. Testicle",Urethra,C,Anatomy
"A 26-year-old woman is brought to the emergency department because of an 8-hour history of severe back and abdominal pain and mild but persistent vaginal bleeding. Ultrasonography of the abdomen shows a 2-cm ectopic pregnancy in the ampulla. The ampulla has ruptured into the surrounding tissue. Fluid from this rupture will most likely be found in which of the following locations?

A. Lesser peritoneal cavity
B. Mesometrium
C. Pouch of Douglas
D. Uterine cavity",Pouch of Douglas,C,Professional Medicine
"In the spinal cord, motor neuron cell bodies are located in

A. Lamina I.
B. Lamina II.
C. Lamina V.
D. Lamina IX",Lamina IX,D,Anatomy
"An allele that is masked is referred to as:

A. recessive.
B. redundant.
C. repressed.
D. reclusive.",recessive.,A,Clinical Knowledge
"A 24-year-old man comes to the office because of a 2-day history of a red, itchy rash on his buttocks and legs. Four days ago, he returned from a cruise to the Caribbean, during which he swam in the ship’s pool and used the hot tub. He appears well. His vital signs are within normal limits. Physical examination shows the findings in the photograph. The infectious agent causing these findings most likely began to proliferate in which of the following locations?

A. Apocrine gland
B. Dermis
C. Eccrine gland
D. Hair follicle",Hair follicle,D,Professional Medicine
"Saliva contains an enzyme that acts upon which of the following nutrients?

A. Starches
B. Proteins
C. Fats
D. Minerals",Starches,A,Anatomy
"A 63-year-old woman with hypertension has her son call your office to make an appointment for evaluation of vaginal bleeding. Her general physician recently retired. The son tells you that his mother has been deaf since infancy and that he uses sign language to communicate with her. Which of the following is the most appropriate course of action to ensure good communication?

A. Have the patient bring her son to the appointment to interpret
B. Arrange for a certified interpreter
C. Provide the patient with writing materials during the appointment
D. Talk with the patient face-to-face, enunciating carefully so that she may lip read",Arrange for a certified interpreter,B,Professional Medicine
"Anaerobic metabolism refers to the generation of ATP:

A. without the involvement of ADP.
B. without the use of glycogen.
C. without the use of oxygen.
D. in the absence of available oxygen.",without the use of oxygen.,C,Clinical Knowledge
"The chain of survival has four links. Put the following list in the correct order: 1. Early defibrillation; 2. Early CPR; 3. Recognition and call for help early; 4. Post-resuscitation care.

A. 3, 1, 2, 4.
B. 3, 2, 1, 4.
C. 1, 2, 3, 4.
D. 2, 1, 3, 4.","3, 2, 1, 4.",B,Clinical Knowledge
"Which of the following is the commonest cause of dementia in the UK?

A. Alzheimer's disease.
B. Cerebrovascular (stroke) disease.
C. Lewy body dementia.
D. HIV infection.",Alzheimer's disease.,A,Clinical Knowledge
"Ectoderm gives rise to

A. the neural tube.
B. ectomesenchymal cells.
C. dental enamel.
D. all three structures.",all three structures.,D,Anatomy
"Which of the following muscles initiates elevation of the mandible?

A. Masseter
B. Temporalis
C. Lateral pterygoid
D. Medial pterygoid.",Medial pterygoid.,D,Anatomy
"A 52-year-old woman has had dyspnea and hemoptysis for 1 month. She has a history of rheumatic fever as a child and has had a cardiac murmur since early adulthood. Her temperature is 36.7°C (98°F), pulse is 130/min and irregularly irregular, respirations are 20/min, and blood pressure is 98/60 mm Hg. Jugular venous pressure is not increased. Bilateral crackles are heard at the lung bases. There is an opening snap followed by a low-pitched diastolic murmur at the third left intercostal space. An x-ray of the chest shows left atrial enlargement, a straight left cardiac border, and pulmonary venous engorgement. Which of the following is the most likely explanation for these findings?

A. Aortic valve insufficiency
B. Aortic valve stenosis
C. Mitral valve insufficiency
D. Mitral valve stenosis",Mitral valve stenosis,D,Professional Medicine
"A 32-year-old man who is a jackhammer operator comes to the physician because of pain and swelling of his right arm for 3 days. The symptoms are moderately exacerbated by exertion. Examination of the right upper extremity shows erythema and moderate edema. Capillary refill time is less than 3 seconds. Which of the following is the most likely diagnosis?

A. Axillary-subclavian venous thrombosis
B. Deep venous valvular insufficiency
C. Superficial thrombophlebitis of the basilic vein
D. Superior vena cava syndrome",Axillary-subclavian venous thrombosis,A,Professional Medicine
"Which of the following is true of Systemic Sclerosis?

A. It affects males more than females
B. If telangiectasia are seen this clinches the diagnosis
C. Arachnodactyly is a feature of the disease
D. Patients have a beaked shaped nose and waxy skin",Patients have a beaked shaped nose and waxy skin,D,Clinical Knowledge
"A 60-year-old man had a total thyroidectomy and excision of enlarged left jugular lymph nodes for follicular carcinoma. The operation was uncomplicated. He is receiving intravenous 5% dextrose and 0.45% saline with potassium. Twelve hours after the operation he develops circumoral numbness and paresthesias in his fingertips, and he becomes very anxious. Vital signs are temperature 37.6°C (99.7°F), pulse 90/min, respirations 16/min, and blood pressure 140/90 mm Hg. Physical examination discloses a dry neck dressing and no stridor. Extremities are warm, with brisk capillary refill time. Additional physical examination is most likely to show which of the following?

A. Babinski sign present bilaterally
B. Chvostek sign
C. Deviation of the tongue to the left side
D. A drooping left shoulder",Chvostek sign,B,Professional Medicine
